Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-17,30.670000076293945,30.75,30.584699630737305,30.700000762939453,7177,0,0
2018-10-18,30.450000762939453,30.450000762939453,29.704500198364258,29.849899291992188,19569,0,0
2018-10-19,30.0,30.0,29.4960994720459,29.4960994720459,8888,0,0
2018-10-22,29.729999542236328,29.739999771118164,29.5221004486084,29.618099212646484,9899,0,0
2018-10-23,28.850000381469727,29.240699768066406,28.610000610351562,29.200000762939453,6563,0,0
2018-10-24,28.829999923706055,28.829999923706055,27.739999771118164,27.739999771118164,14728,0,0
2018-10-25,27.649999618530273,28.2549991607666,27.649999618530273,28.1200008392334,2207,0,0
2018-10-26,27.229999542236328,27.632999420166016,27.079999923706055,27.299999237060547,4102,0,0
2018-10-29,27.600000381469727,27.690000534057617,26.260000228881836,26.260000228881836,54007,0,0
2018-10-30,26.709999084472656,26.969999313354492,26.709999084472656,26.77899932861328,4773,0,0
2018-10-31,27.739999771118164,27.975000381469727,27.68000030517578,27.899999618530273,8583,0,0
2018-11-01,28.260000228881836,28.770000457763672,28.260000228881836,28.770000457763672,6483,0,0
2018-11-02,29.3700008392334,29.399999618530273,28.854999542236328,28.998600006103516,3537,0,0
2018-11-05,28.959999084472656,28.959999084472656,28.560100555419922,28.700000762939453,4427,0,0
2018-11-06,28.65999984741211,28.90999984741211,28.65999984741211,28.760000228881836,7699,0,0
2018-11-07,29.25,29.6299991607666,29.200000762939453,29.576200485229492,6734,0,0
2018-11-08,29.489999771118164,29.640600204467773,29.149999618530273,29.15489959716797,2461,0,0
2018-11-09,28.190000534057617,28.190000534057617,27.860000610351562,27.860000610351562,6015,0,0
2018-11-12,27.829999923706055,27.829999923706055,27.229999542236328,27.229999542236328,3000,0,0
2018-11-13,27.598899841308594,27.796199798583984,27.440000534057617,27.489999771118164,7288,0,0
2018-11-14,27.809999465942383,27.850000381469727,27.559999465942383,27.600000381469727,2874,0,0
2018-11-15,27.84000015258789,28.1299991607666,27.84000015258789,28.110000610351562,2270,0,0
2018-11-16,27.209999084472656,27.479999542236328,27.209999084472656,27.479999542236328,12486,0,0
2018-11-19,27.402999877929688,27.402999877929688,26.750200271606445,26.750200271606445,2952,0,0
2018-11-20,25.889999389648438,26.43000030517578,25.889999389648438,26.239999771118164,3119,0,0
2018-11-21,26.770099639892578,26.850000381469727,26.770099639892578,26.850000381469727,641,0,0
2018-11-23,26.739999771118164,26.739999771118164,26.670000076293945,26.670000076293945,378,0,0
2018-11-26,27.299999237060547,27.31999969482422,27.209999084472656,27.209999084472656,408,0,0
2018-11-27,27.209999084472656,27.360700607299805,27.137300491333008,27.360700607299805,1327,0,0
2018-11-28,27.942100524902344,28.168100357055664,27.942100524902344,28.168100357055664,2272,0,0
2018-11-29,28.31999969482422,28.5049991607666,28.319000244140625,28.3700008392334,2992,0,0
2018-11-30,28.200000762939453,28.229999542236328,28.200000762939453,28.20549964904785,617,0,0
2018-12-03,28.90999984741211,28.90999984741211,28.559999465942383,28.559999465942383,907,0,0
2018-12-04,28.34000015258789,28.459999084472656,27.639999389648438,27.639999389648438,8241,0,0
2018-12-06,26.84000015258789,27.489999771118164,26.690000534057617,27.489999771118164,8393,0,0
2018-12-07,27.799999237060547,27.799999237060547,27.149999618530273,27.149999618530273,1707,0,0
2018-12-10,27.049999237060547,27.243600845336914,27.049999237060547,27.243600845336914,693,0,0
2018-12-11,27.649999618530273,27.649999618530273,27.25,27.31999969482422,9048,0,0
2018-12-12,27.579999923706055,27.842599868774414,27.579999923706055,27.644100189208984,5528,0,0
2018-12-13,27.80500030517578,27.80500030517578,27.663700103759766,27.684799194335938,2346,0,0
2018-12-14,27.270000457763672,27.270000457763672,27.0939998626709,27.0939998626709,1041,0,0
2018-12-17,26.8799991607666,27.0,26.6200008392334,26.6200008392334,1530,0,0
