Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-03,15.071100234985352,15.071100234985352,15.071100234985352,15.071100234985352,0,0,0
2019-06-04,14.899999618530273,15.071100234985352,14.720000267028809,15.071100234985352,20936,0,0
2019-06-05,15.130000114440918,15.180000305175781,14.979999542236328,15.150099754333496,27588,0,0
2019-06-06,15.149999618530273,15.180000305175781,15.09000015258789,15.132699966430664,14154,0,0
2019-06-07,15.25,15.489999771118164,15.25,15.392000198364258,21091,0,0
2019-06-10,15.670000076293945,15.670000076293945,15.5,15.529999732971191,133819,0,0
2019-06-11,15.770000457763672,15.770000457763672,15.541500091552734,15.615099906921387,39627,0,0
2019-06-12,15.579999923706055,15.579999923706055,15.430000305175781,15.486700057983398,18531,0,0
2019-06-13,15.630000114440918,15.630000114440918,15.489999771118164,15.544400215148926,17549,0,0
2019-06-14,15.420000076293945,15.420000076293945,15.300000190734863,15.314200401306152,9111,0,0
2019-06-17,15.3100004196167,15.399999618530273,15.3100004196167,15.347999572753906,13600,0,0
2019-06-18,15.510100364685059,15.629500389099121,15.510100364685059,15.593199729919434,5883,0,0
2019-06-19,15.670000076293945,15.699999809265137,15.510000228881836,15.681099891662598,10914,0,0
2019-06-20,15.890000343322754,15.922800064086914,15.75,15.859199523925781,3439,0,0
2019-06-21,15.760000228881836,15.899999618530273,15.68179988861084,15.863900184631348,12119,0,0
2019-06-24,15.84000015258789,15.890000343322754,15.770099639892578,15.843299865722656,8860,0,0
2019-06-25,15.789999961853027,15.789999961853027,15.489999771118164,15.52970027923584,7719,0,0
2019-06-26,15.5,15.503700256347656,15.430000305175781,15.461799621582031,5930,0,0
2019-06-27,15.521100044250488,15.638999938964844,15.521100044250488,15.61989974975586,3851,0,0
2019-06-28,15.619999885559082,15.664899826049805,15.60099983215332,15.633500099182129,3104,0,0
2019-07-01,15.880000114440918,15.880000114440918,15.76200008392334,15.81820011138916,4410,0,0
2019-07-02,15.812000274658203,15.869999885559082,15.79010009765625,15.853699684143066,3966,0,0
2019-07-03,15.920000076293945,15.920000076293945,15.840100288391113,15.883700370788574,4120,0,0
2019-07-05,15.880000114440918,15.880000114440918,15.67039966583252,15.797599792480469,5328,0,0
2019-07-08,15.710000038146973,15.710000038146973,15.500100135803223,15.529999732971191,5582,0,0
2019-07-09,15.420000076293945,15.507800102233887,15.34000015258789,15.4975004196167,5109,0,0
2019-07-10,15.710000038146973,15.710000038146973,15.609999656677246,15.667400360107422,6578,0,0
2019-07-11,15.710000038146973,15.710000038146973,15.579299926757812,15.645600318908691,5522,0,0
2019-07-12,15.699999809265137,15.699999809265137,15.600000381469727,15.619999885559082,33180,0,0
2019-07-15,15.609999656677246,15.609999656677246,15.500900268554688,15.59000015258789,83237,0,0
2019-07-16,15.569999694824219,15.569999694824219,15.412799835205078,15.445300102233887,12774,0,0
2019-07-17,15.479999542236328,15.479999542236328,15.340100288391113,15.370499610900879,8030,0,0
2019-07-18,15.369999885559082,15.40999984741211,15.289999961853027,15.34000015258789,13421,0,0
2019-07-19,15.4399995803833,15.4399995803833,15.26729965209961,15.274499893188477,5628,0,0
2019-07-22,15.25,15.25,15.080100059509277,15.147100448608398,11089,0,0
2019-07-23,15.220000267028809,15.220000267028809,15.15999984741211,15.201899528503418,4433,0,0
2019-07-24,15.229999542236328,15.359000205993652,15.183300018310547,15.357500076293945,3658,0,0
